Nintendo SNES Super Mario World VERSÃO PT (EXCELENTE!);249,99 €;https://www.olx.pt/d/anuncio/nintendo-snes-super-mario-world-verso-pt-excelente-IDHeuzT.html
Secret Of Mana Super Nintendo SNES Original 1993 PAL FRA;150 €;https://www.olx.pt/d/anuncio/secret-of-mana-super-nintendo-snes-original-1993-pal-fra-IDHgGuZ.html
Super Mario Galaxy // Nintendo Wii & Wii U;25 €;https://www.olx.pt/d/anuncio/super-mario-galaxy-nintendo-wii-wii-u-IDGUxj3.html
Super Nintendo Entertainment System super mario arkanoid donkey kong;35 €;
Negociável;https://www.olx.pt/d/anuncio/super-nintendo-entertainment-system-super-mario-arkanoid-donkey-kong-IDHaCRg.html;
Jogo Cybernator - Super Nintendo;30 €;https://www.olx.pt/d/anuncio/jogo-cybernator-super-nintendo-IDGnvtn.html
SNES Super Nintendo control set;250 €;
Negociável;https://www.olx.pt/d/anuncio/snes-super-nintendo-control-set-IDGTJPH.html;
NES Super Mario Bros. EUROPA VERSION (COMPLETA!);325 €;https://www.olx.pt/d/anuncio/nes-super-mario-bros-europa-version-completa-IDH4mdY.html
Super Nintendo, Snes, Super Gameboy + 2 Comandos + Super Mario World;250 €;https://www.olx.pt/d/anuncio/super-nintendo-snes-super-gameboy-2-comandos-super-mario-world-IDH7ZpU.html
Super Mario Bros DS;30 €;https://www.olx.pt/d/anuncio/super-mario-bros-ds-IDHauQk.html
Super Mario Maker 2 Nintendo Switch;40 €;
Negociável;https://www.olx.pt/d/anuncio/super-mario-maker-2-nintendo-switch-IDHbP8g.html;
Super Smash Bros Nintendo Switch;42 €;
Negociável;https://www.olx.pt/d/anuncio/super-smash-bros-nintendo-switch-IDHbP9b.html;
Nintendo NES - Super Mario, Donkey Kong, Megaman, todos os clássicos!;39 €;https://www.olx.pt/d/anuncio/nintendo-nes-super-mario-donkey-kong-megaman-todos-os-clssicos-IDFJKbo.html
Nintendo Switch Lite cinzento;195 €;https://www.olx.pt/d/anuncio/nintendo-switch-lite-cinzento-IDH90t1.html
Coleção de jogos para a Super Nintendo / SNES (originais PAL);400 €;https://www.olx.pt/d/anuncio/coleo-de-jogos-para-a-super-nintendo-snes-originais-pal-IDHgxQk.html
Nintendo Classic Mini: Super Nintendo Entertainment System;180 €;https://www.olx.pt/d/anuncio/nintendo-classic-mini-super-nintendo-entertainment-system-IDGJIUo.html
Consola Nintendo Switch + Jogos;200 €;
Negociável;https://www.olx.pt/d/anuncio/consola-nintendo-switch-jogos-IDHf5y6.html;
Chave 3.8 ou 4.5 mm jogos cartuchos Nintendo, Sega, Pokémon, Game Boy;4 €;https://www.olx.pt/d/anuncio/chave-3-8-ou-4-5-mm-jogos-cartuchos-nintendo-sega-pokmon-game-boy-IDzB7hT.html
Bubsy para Super Nintendo;10 €;https://www.olx.pt/d/anuncio/bubsy-para-super-nintendo-IDFWlrD.html
Nintendo DSi XL Super Mario 25th Anniversary (COMPLETA!);175 €;https://www.olx.pt/d/anuncio/nintendo-dsi-xl-super-mario-25th-anniversary-completa-IDH2ac1.html
Consola SNES Super Mario All Stars (COMPLETA!);349,99 €;https://www.olx.pt/d/anuncio/consola-snes-super-mario-all-stars-completa-IDH2m4T.html
Consola nintendo antiga (NES);115 €;
Negociável;https://www.olx.pt/d/anuncio/consola-nintendo-antiga-nes-IDHeOiq.html;
Super NES Nintendo Scope 6 Super Nintendo (BOM ESTADO!);35 €;https://www.olx.pt/d/anuncio/super-nes-nintendo-scope-6-super-nintendo-bom-estado-IDH5NRy.html
Transformador Super Nintendo SNES - NOVO;12 €;https://www.olx.pt/d/anuncio/transformador-super-nintendo-snes-novo-IDGWCxN.html
Super nintendo + 2comandos+ 4 jogos;170 €;https://www.olx.pt/d/anuncio/super-nintendo-2comandos-4-jogos-IDHbwTV.html
Nintendo 2DS Desbloqueada + Extras Pokémon Sun & Moon;140 €;https://www.olx.pt/d/anuncio/nintendo-2ds-desbloqueada-extras-pokmon-sun-moon-IDHbz9e.html
Vendo Nintendo Wii Edição 25 anos Super Mario;80 €;https://www.olx.pt/d/anuncio/vendo-nintendo-wii-edio-25-anos-super-mario-IDGXdup.html
Super Nintendo + Cabos + Jogos;150 €;https://www.olx.pt/d/anuncio/super-nintendo-cabos-jogos-IDH0xzX.html
Transformador para SNES Super Nintendo e NES;10 €;https://www.olx.pt/d/anuncio/transformador-para-snes-super-nintendo-e-nes-IDGnS2k.html
Super nintendo street Fighter 2 turbo (apenas o jogo);45 €;
Negociável;https://www.olx.pt/d/anuncio/super-nintendo-street-fighter-2-turbo-apenas-o-jogo-IDHc0cv.html;
Nintendo 2DS New Super Mario Bros.2 - Special Edition + JOGO EM CAIXA!;124,99 €;https://www.olx.pt/d/anuncio/nintendo-2ds-new-super-mario-bros-2-special-edition-jogo-em-caixa-IDH5co2.html
Super consola retro com 33400 (psx, N64, dreamcast, Amiga, arcade, psp;76 €;https://www.olx.pt/d/anuncio/super-consola-retro-com-33400-psx-n64-dreamcast-amiga-arcade-psp-IDH1EX2.html
Nintendo Dsi XL Super Mario Bros 25th Anniversary Special Edition;130 €;https://www.olx.pt/d/anuncio/nintendo-dsi-xl-super-mario-bros-25th-anniversary-special-edition-IDH9pFT.html
Super Nintendo cartucho 130 jogos;40 €;https://www.olx.pt/d/anuncio/super-nintendo-cartucho-130-jogos-IDGk1Dn.html
SNES Super Mario All Stars PAL EURO FR (MUITO RARA!);475 €;https://www.olx.pt/d/anuncio/snes-super-mario-all-stars-pal-euro-fr-muito-rara-IDH80fG.html
NES Personalizada Super Mario Bros. 3;145 €;https://www.olx.pt/d/anuncio/nes-personalizada-super-mario-bros-3-IDGZXS8.html
Nintendo Gameboy Classic Special Edition;85 €;https://www.olx.pt/d/anuncio/nintendo-gameboy-classic-special-edition-IDHgcHR.html
Super Mario Bros 3 NES (Nintendo Entertainment System) Completo;65 €;https://www.olx.pt/d/anuncio/super-mario-bros-3-nes-nintendo-entertainment-system-completo-IDHgGj8.html
Super Mário Bros. e Duke Hunt (Nintendo);14 €;https://www.olx.pt/d/anuncio/super-mrio-bros-e-duke-hunt-nintendo-IDHeQvy.html
Super Smash Bros Ultimate Switch;50 €;https://www.olx.pt/d/anuncio/super-smash-bros-ultimate-switch-IDH8WaX.html
"Nintendo Wii Vermelha ""25º Aniversário Super Mario Bros""";140 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-wii-vermelha-25-aniversrio-super-mario-bros-IDH9sOm.html;
Consola retro Snes;70 €;https://www.olx.pt/d/anuncio/consola-retro-snes-IDH8nX4.html
NES Super Set European Version em caixa;220 €;https://www.olx.pt/d/anuncio/nes-super-set-european-version-em-caixa-IDH4D1z.html
Nintendo Switch Lite Mais Jogos;190 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-switch-lite-mais-jogos-IDHbzh8.html;
Bolsa para snes mini classic, super Nintendo;15 €;https://www.olx.pt/d/anuncio/bolsa-para-snes-mini-classic-super-nintendo-IDFAQBi.html
Consolas Nintendo Usadas;Troca;https://www.olx.pt/d/anuncio/consolas-nintendo-usadas-IDGgdPI.html
Arcade stick com 33400 jogos (psx, n64, dreamcast, arcade);99 €;https://www.olx.pt/d/anuncio/arcade-stick-com-33400-jogos-psx-n64-dreamcast-arcade-IDH7D1t.html
Nintendo Gamecube | Jogos Completos | Mario Party 4 | Super Mario Suns;35 €;https://www.olx.pt/d/anuncio/nintendo-gamecube-jogos-completos-mario-party-4-super-mario-suns-IDHgE31.html
Super Nintendo mini classic - Mini Snes - 300 jogos;120 €;https://www.olx.pt/d/anuncio/super-nintendo-mini-classic-mini-snes-300-jogos-IDGZu9u.html
Consola com 33400 jogos(psx, dreamcast, n64, Amiga, arcade, snes, etc);75 €;https://www.olx.pt/d/anuncio/consola-com-33400-jogospsx-dreamcast-n64-amiga-arcade-snes-etc-IDH5JV3.html
Consola com 42000 jogos(psx, dreamcast, n64, Amiga, snes, psp, nds…);96 €;https://www.olx.pt/d/anuncio/consola-com-42000-jogospsx-dreamcast-n64-amiga-snes-psp-nds-IDH5JXc.html
Super Mario Bros 2 para Nintendo 3DS;25 €;
Negociável;https://www.olx.pt/d/anuncio/super-mario-bros-2-para-nintendo-3ds-IDHgByS.html;
Bazuca Super Nintendo SNES Scope 6 (VERSÃO PT!);125 €;https://www.olx.pt/d/anuncio/bazuca-super-nintendo-snes-scope-6-verso-pt-IDH7cfU.html
Nintendo Switch V1 32gb(+8gb) + jogos + acessórios + mala transporte;230 €;https://www.olx.pt/d/anuncio/nintendo-switch-v1-32gb-8gb-jogos-acessrios-mala-transporte-IDHgI6N.html
Nintendo Game & Watch – Super Mario Bros. (SELADA+CAIXA DE PROTEÇÃO!);46,50 €;https://www.olx.pt/d/anuncio/nintendo-game-watch-super-mario-bros-selada-caixa-de-proteo-IDH4LYR.html
Coleção de jogos para a Super Nintendo / SNES (originais PAL);400 €;https://www.olx.pt/d/anuncio/coleo-de-jogos-para-a-super-nintendo-snes-originais-pal-IDHgxQk.html
Nintendo NES - Super Mario, Donkey Kong, Megaman, todos os clássicos!;39 €;https://www.olx.pt/d/anuncio/nintendo-nes-super-mario-donkey-kong-megaman-todos-os-clssicos-IDFJKbo.html
Nintendo Switch Lite cinzento;195 €;https://www.olx.pt/d/anuncio/nintendo-switch-lite-cinzento-IDH90t1.html
Nintendo Game & Watch – Super Mario Bros. (SELADA+CAIXA DE PROTEÇÃO!);46,50 €;https://www.olx.pt/d/anuncio/nintendo-game-watch-super-mario-bros-selada-caixa-de-proteo-IDH4LYR.html
Nintendo Dsi rara Pokémon Black;114 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-dsi-rara-pokmon-black-IDHfwU6.html;
Consola com 42000 jogos (psx, n64,dreamcast, Amiga, psp, nds, arcade);96 €;https://www.olx.pt/d/anuncio/consola-com-42000-jogos-psx-n64-dreamcast-amiga-psp-nds-arcade-IDH5Jvv.html
Cabo Dreamcast nintendo tv, super nintendo nintendo 64, USB-C;10 €;https://www.olx.pt/d/anuncio/cabo-dreamcast-nintendo-tv-super-nintendo-nintendo-64-usb-c-IDDcbPT.html
Nintendo 3ds Lego Marvel Super Heróis Universo em Perigo;5 €;https://www.olx.pt/d/anuncio/nintendo-3ds-lego-marvel-super-heris-universo-em-perigo-IDFUA97.html
Consola power box com 33400 jogos (arcade, psx, dreamcast, n64, etc);76 €;https://www.olx.pt/d/anuncio/consola-power-box-com-33400-jogos-arcade-psx-dreamcast-n64-etc-IDH7GHC.html
PlayStation PSP Portable 3004;65 €;https://www.olx.pt/d/anuncio/playstation-psp-portable-3004-IDHgcHO.html
Nintendo wii Com jogos;50 €;https://www.olx.pt/d/anuncio/nintendo-wii-com-jogos-IDHeuAS.html
Nintendo Wii preta;100 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-wii-preta-IDGhjj0.html;
Consola android com 42000 jogos;96 €;https://www.olx.pt/d/anuncio/consola-android-com-42000-jogos-IDH94XU.html
Nintendo 2DS Desbloqueada + Extras Pokémon Sun & Moon;140 €;https://www.olx.pt/d/anuncio/nintendo-2ds-desbloqueada-extras-pokmon-sun-moon-IDHbz9e.html
Nintendo Super Famicom;160 €;https://www.olx.pt/d/anuncio/nintendo-super-famicom-IDGT2uM.html
NES praticamente nova (3 jogos e 1 comando);110 €;
Negociável;https://www.olx.pt/d/anuncio/nes-praticamente-nova-3-jogos-e-1-comando-IDHdldn.html;
Consola Nintendo 3DS;130 €;https://www.olx.pt/d/anuncio/consola-nintendo-3ds-IDGLzZD.html
Super Mario Maker 2;40 €;https://www.olx.pt/d/anuncio/super-mario-maker-2-IDGU9vK.html
NES LUIGI VERDE NÉON (Personalizada!);135 €;https://www.olx.pt/d/anuncio/nes-luigi-verde-non-personalizada-IDH3iA1.html
Jogos Super Nintendo SNES;10 €;https://www.olx.pt/d/anuncio/jogos-super-nintendo-snes-IDGkyvK.html
Nintendo Switch V2, como nova, garatia e capas.;335 €;https://www.olx.pt/d/anuncio/nintendo-switch-v2-como-nova-garatia-e-capas-IDHeD6W.html
Jogo Kirby's Dream Course;30 €;https://www.olx.pt/d/anuncio/jogo-kirbys-dream-course-IDHcOwL.html
NES Super Mario Bros. 3 EUROPA VERSION (Completa!);350 €;https://www.olx.pt/d/anuncio/nes-super-mario-bros-3-europa-version-completa-IDH1ZJy.html
SEGA Mega Drive I;45 €;https://www.olx.pt/d/anuncio/sega-mega-drive-i-IDHgcBA.html
Super Nintendo Mini;125 €;
Negociável;https://www.olx.pt/d/anuncio/super-nintendo-mini-IDH5Azc.html;
Super Nintendo (SNES) Desbloqueada;90 €;https://www.olx.pt/d/anuncio/super-nintendo-snes-desbloqueada-IDH74bP.html
Chapéu OFICIAL SNES Super Nintendo (excelente estado!);35 €;https://www.olx.pt/d/anuncio/chapu-oficial-snes-super-nintendo-excelente-estado-IDH5NVz.html
GAMEBIT - Chave para Nintendo | Sega - Full-Set - NOVO;12,90 €;https://www.olx.pt/d/anuncio/gamebit-chave-para-nintendo-sega-full-set-novo-IDFMJD4.html
Bolsa nintendo 3ds/ds super mario;10 €;https://www.olx.pt/d/anuncio/bolsa-nintendo-3ds-ds-super-mario-IDGEmaW.html
Pacote Nintendo Switch Lite (turquesa);250 €;https://www.olx.pt/d/anuncio/pacote-nintendo-switch-lite-turquesa-IDGZOeX.html
Consola Nova Nintendo -650 Jogos;59 €;https://www.olx.pt/d/anuncio/consola-nova-nintendo-650-jogos-IDGK1Ic.html
SEGA Mega Drive I;45 €;https://www.olx.pt/d/anuncio/sega-mega-drive-i-IDHeUTS.html
Jogos Originais Nintendo;25 €;
Negociável;https://www.olx.pt/d/anuncio/jogos-originais-nintendo-IDFPOTx.html;
CONSOLA COMANDO Diversas Consolas Portáteis Diversos Comandos;380 €;
Negociável;https://www.olx.pt/d/anuncio/consola-comando-diversas-consolas-portteis-diversos-comandos-IDEhqIN.html;
Super Mario 3D All Stars;45 €;https://www.olx.pt/d/anuncio/super-mario-3d-all-stars-IDGU9w7.html
Nintendo Wii Gamecube desbloqueado+ jogos + comandos;120 €;https://www.olx.pt/d/anuncio/nintendo-wii-gamecube-desbloqueado-jogos-comandos-IDHetUN.html
Nintendo Wii/ Gamecube desbloqueado + jogos + comandos;95 €;https://www.olx.pt/d/anuncio/nintendo-wii-gamecube-desbloqueado-jogos-comandos-IDHe0z3.html
Jogo SNES SUPER STAR WARS Super Nintendo (BOM ESTADO!);60 €;https://www.olx.pt/d/anuncio/jogo-snes-super-star-wars-super-nintendo-bom-estado-IDH63L0.html
Nintendo wii como nova;80 €;https://www.olx.pt/d/anuncio/nintendo-wii-como-nova-IDHfAca.html
BAZUCA Nintendo SNES Scope 6 VERSÃO PT (COMO NOVA MESMO!);160 €;https://www.olx.pt/d/anuncio/bazuca-nintendo-snes-scope-6-verso-pt-como-nova-mesmo-IDHdHES.html
Super Nintendo, Snes 14 jogos 2 comandos;300 €;https://www.olx.pt/d/anuncio/super-nintendo-snes-14-jogos-2-comandos-IDHb8Qy.html
Jogo de ferramentas para várias consolas Nintendo Sega;10 €;https://www.olx.pt/d/anuncio/jogo-de-ferramentas-para-vrias-consolas-nintendo-sega-IDGllkh.html
Super Mario All Star SNES com Caixa e Manual Versão PAL;96 €;https://www.olx.pt/d/anuncio/super-mario-all-star-snes-com-caixa-e-manual-verso-pal-IDH0uII.html
Jogo NES - Super Mario Bros. 2;35 €;https://www.olx.pt/d/anuncio/jogo-nes-super-mario-bros-2-IDH97d8.html
Nintendo NES - Super Mario, Donkey Kong, Megaman, todos os clássicos!;39 €;https://www.olx.pt/d/anuncio/nintendo-nes-super-mario-donkey-kong-megaman-todos-os-clssicos-IDFJKbo.html
Nintendo 2DS Desbloqueada + Extras Pokémon Sun & Moon;140 €;https://www.olx.pt/d/anuncio/nintendo-2ds-desbloqueada-extras-pokmon-sun-moon-IDHbz9e.html
Coleção de jogos para a Super Nintendo / SNES (originais PAL);400 €;https://www.olx.pt/d/anuncio/coleo-de-jogos-para-a-super-nintendo-snes-originais-pal-IDHgxQk.html
GAMEBIT - Chave para Nintendo | Sega - All-in-One - NOVA;7,90 €;https://www.olx.pt/d/anuncio/gamebit-chave-para-nintendo-sega-all-in-one-nova-IDAIsl0.html
Nintendo Wii Mini + 2 Comandos + 3 Jogos;50 €;https://www.olx.pt/d/anuncio/nintendo-wii-mini-2-comandos-3-jogos-IDH79CQ.html
Nintendo, Nes Consola em Caixa - Control Deck 2 Comandos + Jogo;150 €;https://www.olx.pt/d/anuncio/nintendo-nes-consola-em-caixa-control-deck-2-comandos-jogo-IDH7ZnE.html
Jogo antigo Winter Olympics para consola retro;10 €;https://www.olx.pt/d/anuncio/jogo-antigo-winter-olympics-para-consola-retro-IDGe0av.html
PS4 / PS5 FIFA 2021 jogo novo;20 €;https://www.olx.pt/d/anuncio/ps4-ps5-fifa-2021-jogo-novo-IDGSOPT.html
2 jogos Wiiu Nintendo land zombi zombiu zombie nintendoland wii u;25 €;
Negociável;https://www.olx.pt/d/anuncio/2-jogos-wiiu-nintendo-land-zombi-zombiu-zombie-nintendoland-wii-u-IDEMURA.html;
SNES Super Nintendo Stereo A/V Cable RCA VERSÃO PT (SELADO!);45 €;https://www.olx.pt/d/anuncio/snes-super-nintendo-stereo-a-v-cable-rca-verso-pt-selado-IDH7coB.html
Nintendo Gameboy / Game boy ( Mario - Donkey Kong );10 €;https://www.olx.pt/d/anuncio/nintendo-gameboy-game-boy-mario-donkey-kong-IDH3asi.html
Jogo Super Probotector - aliens rebels;50 €;https://www.olx.pt/d/anuncio/jogo-super-probotector-aliens-rebels-IDHcOwc.html
Instruções raras super Mário all stars (super Nintendo / snes);30 €;https://www.olx.pt/d/anuncio/instrues-raras-super-mrio-all-stars-super-nintendo-snes-IDCkN8O.html
Nintendo Switch Lite cinzento;195 €;https://www.olx.pt/d/anuncio/nintendo-switch-lite-cinzento-IDH90t1.html
Jogos Nintendo para consola NES;50 €;https://www.olx.pt/d/anuncio/jogos-nintendo-para-consola-nes-IDHeOhV.html
Nintendo Switch + Jogos + Acessórios + Bolsa Transportadora + Pelicula;200 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-switch-jogos-acessrios-bolsa-transportadora-pelicula-IDHavDz.html;
Nintendo switch (desbloqueado) edição super smash bros;500 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-switch-desbloqueado-edio-super-smash-bros-IDGhNbq.html;
Consola Nintendo Wii U 32GB + 3 Jogos;120 €;
Negociável;https://www.olx.pt/d/anuncio/consola-nintendo-wii-u-32gb-3-jogos-IDHc36k.html;
Super Mario Maker - Wii U;30 €;https://www.olx.pt/d/anuncio/super-mario-maker-wii-u-IDHd9IC.html
Nintendo switch com jogos;800 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-switch-com-jogos-IDGU22O.html;
Consola Android com 10000 arcade e de consolas;65 €;https://www.olx.pt/d/anuncio/consola-android-com-10000-arcade-e-de-consolas-IDH5CY4.html
Nintendo Switch + Jogos + Mala + Protecção de Ecrã Anti-Riscos;600 €;https://www.olx.pt/d/anuncio/nintendo-switch-jogos-mala-proteco-de-ecr-anti-riscos-IDHe9FR.html
Nintendo Wii branca + Acessórios + Super Mario Galaxy & Wii Sports;50 €;https://www.olx.pt/d/anuncio/nintendo-wii-branca-acessrios-super-mario-galaxy-wii-sports-IDHeZZz.html
Wii cheia de emuladores e milhares de jogos;79,90 €;https://www.olx.pt/d/anuncio/wii-cheia-de-emuladores-e-milhares-de-jogos-IDH5iJE.html
Secret of mana super nintendo Snes;90 €;https://www.olx.pt/d/anuncio/secret-of-mana-super-nintendo-snes-IDGGlFL.html
Nintendo Switch V2 com mala de transporte;270 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-switch-v2-com-mala-de-transporte-IDGzRcA.html;
Comando Classico Pro controlador joystick Nintendo WII NOVO;9,99 €;https://www.olx.pt/d/anuncio/comando-classico-pro-controlador-joystick-nintendo-wii-novo-IDFEV7o.html
Super Street Basket Ball 2 - Gameboy;10 €;https://www.olx.pt/d/anuncio/super-street-basket-ball-2-gameboy-IDHc0yB.html
Consolas de jogos comandos e peças;5 €;https://www.olx.pt/d/anuncio/consolas-de-jogos-comandos-e-peas-IDG1Q7P.html
Consola com 1400 jogos;35 €;https://www.olx.pt/d/anuncio/consola-com-1400-jogos-IDGbxKR.html
Jogos para a Wii;18 €;https://www.olx.pt/d/anuncio/jogos-para-a-wii-IDGnqRL.html
Consola Nitendo 2DS;50 €;https://www.olx.pt/d/anuncio/consola-nitendo-2ds-IDHgBMm.html
Conjunto SEGA Dreamcast;270 €;
Negociável;https://www.olx.pt/d/anuncio/conjunto-sega-dreamcast-IDHgcHl.html;
Nintendo 64 + 3 jogos;300 €;https://www.olx.pt/d/anuncio/nintendo-64-3-jogos-IDHdqa8.html
Nintendo 64 com jogos e acessórios;150 €;https://www.olx.pt/d/anuncio/nintendo-64-com-jogos-e-acessrios-IDGYI77.html
Nintendo Wii Mini Mário Kart;150 €;
Negociável;https://www.olx.pt/d/anuncio/nintendo-wii-mini-mrio-kart-IDGoqDd.html;
Nintendo Wii NTSC completa jogo Mario + caixa manuais;149 €;https://www.olx.pt/d/anuncio/nintendo-wii-ntsc-completa-jogo-mario-caixa-manuais-IDFGOul.html
Super Nintendo Classic Mini - Nova na caixa;120 €;https://www.olx.pt/d/anuncio/super-nintendo-classic-mini-nova-na-caixa-IDGliii.html
Jogo antigo Super Mario & Sonic 2;10 €;https://www.olx.pt/d/anuncio/jogo-antigo-super-mario-sonic-2-IDCyo04.html
Consola 10000 jogos Retro (Arcade, Nintendo, PS1, Gameboy, Mega Drive);75 €;https://www.olx.pt/d/anuncio/consola-10000-jogos-retro-arcade-nintendo-ps1-gameboy-mega-drive-IDF9nKH.html
New nintendo 3ds XL desbloqueada;140 €;https://www.olx.pt/d/anuncio/new-nintendo-3ds-xl-desbloqueada-IDHbSzJ.html
Conjunto SEGA Dreamcast;270 €;
Negociável;https://www.olx.pt/d/anuncio/conjunto-sega-dreamcast-IDHeLTS.html;
Super Nintendo - SNES completa na caixa;250 €;https://www.olx.pt/d/anuncio/super-nintendo-snes-completa-na-caixa-IDH1ZRf.html
Jogo SNES Super Nintendo Super Off Road na Caixa Original Pinball Mask;60 €;https://www.olx.pt/d/anuncio/jogo-snes-super-nintendo-super-off-road-na-caixa-original-pinball-mask-IDFI1o9.html
